Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial
2,3,1,1.25,3,3,331,606
0,0,0,2.58831852761,0,0,.,607
2,0,3,1.25,1,1,311,608
0,0,0,2.15889487138,0,0,.,609
1,1,1,1.25,0,1,100,610
0,0,0,2.2860995734,0,0,.,611
2,3,3,1.25,1,1,311,612
0,0,0,2.69550622132,0,0,.,613
1,1,2,1.25,0,2,020,614
0,0,0,2.59901600854,0,0,.,615
1,2,1,1.25,0,1,100,616
0,0,0,2.18510678098,0,0,.,617
2,3,2,1.25,1,1,211,618
0,0,0,2.08707128896,0,0,.,619
1,1,2,1.25,0,2,020,620
0,0,0,2.85573306303,0,0,.,621
2,3,1,1.25,3,2,313,622
0,0,0,2.91633802753,0,0,.,623
1,1,2,1.25,0,2,020,624
0,0,0,2.16786085053,0,0,.,625
2,3,3,1.25,2,2,232,626
0,0,0,2.82857635606,0,0,.,627
1,1,3,1.25,0,3,003,628
0,0,0,2.62077422055,0,0,.,629
2,3,2,1.25,3,1,233,630
0,0,0,2.74268758492,0,0,.,631
1,1,3,1.25,0,3,003,632
0,0,0,2.78269459128,0,0,.,633
2,3,1,1.25,2,2,221,634
0,0,0,2.26751795987,0,0,.,635
2,0,1,1.25,2,2,212,636
0,0,0,2.29272928274,0,0,.,637
1,1,3,1.25,0,3,003,638
0,0,0,2.09191282497,0,0,.,639
2,3,2,1.25,3,3,332,640
0,0,0,2.67802733534,0,0,.,641
1,1,3,1.25,0,3,003,642
0,0,0,2.15371265499,0,0,.,643
1,2,1,1.25,0,1,100,644
0,0,0,2.05788234689,0,0,.,645
2,3,3,1.25,2,1,322,646
0,0,0,2.23719086584,0,0,.,647
1,1,3,1.25,0,3,003,648
0,0,0,2.29720719374,0,0,.,649
1,2,1,1.25,0,1,100,650
0,0,0,2.46982031694,0,0,.,651
2,3,1,1.25,3,3,331,652
0,0,0,2.71133154206,0,0,.,653
2,0,3,1.25,1,2,131,654
0,0,0,2.99899409173,0,0,.,655
1,1,2,1.25,0,2,020,656
0,0,0,2.19096255093,0,0,.,657
2,3,1,1.25,2,2,212,658
0,0,0,2.3174463047,0,0,.,659
1,1,2,1.25,0,2,020,660
0,0,0,2.68597618653,0,0,.,661
2,3,2,1.25,3,1,233,662
0,0,0,2.47406756053,0,0,.,663
2,0,3,1.25,2,2,232,664
0,0,0,2.38862846117,0,0,.,665
1,1,3,1.25,0,3,003,666
0,0,0,2.14889647455,0,0,.,667
1,2,1,1.25,0,1,100,668
0,0,0,2.34990225459,0,0,.,669
2,3,1,1.25,2,2,221,670
0,0,0,2.69754891491,0,0,.,671
1,1,2,1.25,0,2,020,672
0,0,0,2.31261204832,0,0,.,673
1,1,3,1.25,0,3,003,674
0,0,0,2.11181766172,0,0,.,675
2,3,3,1.25,1,1,311,676
0,0,0,2.99137120348,0,0,.,677
1,1,2,1.25,0,2,020,678
0,0,0,2.13661801665,0,0,.,679
2,3,3,1.25,1,2,131,680
0,0,0,2.01223092024,0,0,.,681
1,1,3,1.25,0,3,003,682
0,0,0,2.45793843547,0,0,.,683
2,3,1,1.25,3,3,331,684
0,0,0,2.85694587085,0,0,.,685
2,0,3,1.25,1,2,131,686
0,0,0,2.87692397202,0,0,.,687
1,1,2,1.25,0,2,020,688
0,0,0,2.30248804857,0,0,.,689
2,3,2,1.25,3,1,233,690
0,0,0,2.64642425497,0,0,.,691
1,1,1,1.25,0,1,100,692
0,0,0,2.63573064351,0,0,.,693
1,2,3,1.25,0,3,003,694
0,0,0,2.13290883051,0,0,.,695
2,3,1,1.25,2,2,212,696
0,0,0,2.28792147974,0,0,.,697
1,1,1,1.25,0,1,100,698
0,0,0,2.58122636696,0,0,.,699
2,3,2,1.25,3,3,332,700
