Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial
0,0,0,2.30372813154,0,0,.,385
2,0,2,1.25,3,1,233,386
0,0,0,2.92603560163,0,0,.,387
1,1,1,1.25,0,1,100,388
0,0,0,2.51571873726,0,0,.,389
1,2,1,1.25,0,1,100,390
0,0,0,2.19902243371,0,0,.,391
2,3,2,1.25,1,3,112,392
0,0,0,2.06525200263,0,0,.,393
1,1,3,1.25,0,3,003,394
0,0,0,2.96410614434,0,0,.,395
2,3,1,1.25,3,3,331,396
0,0,0,2.7509184489,0,0,.,397
1,1,1,1.25,0,1,100,398
0,0,0,2.85199916764,0,0,.,399
2,3,3,1.25,1,1,311,400
0,0,0,2.36264586753,0,0,.,401
2,0,1,1.25,2,2,221,402
0,0,0,2.28167549265,0,0,.,403
1,1,3,1.25,0,3,003,404
0,0,0,2.17474286334,0,0,.,405
2,3,1,1.25,2,2,221,406
0,0,0,2.05800738341,0,0,.,407
1,1,3,1.25,0,3,003,408
0,0,0,2.35510600172,0,0,.,409
2,3,3,1.25,2,2,232,410
0,0,0,2.62427948159,0,0,.,411
1,1,2,1.25,0,2,020,412
0,0,0,2.3237139354,0,0,.,413
1,2,3,1.25,0,3,003,414
0,0,0,2.32007209061,0,0,.,415
2,3,1,1.25,3,2,313,416
0,0,0,2.45002036059,0,0,.,417
2,0,1,1.25,2,2,212,418
0,0,0,2.60405559687,0,0,.,419
1,1,3,1.25,0,3,003,420
0,0,0,2.95336352205,0,0,.,421
1,2,2,1.25,0,2,020,422
0,0,0,2.27570937504,0,0,.,423
2,3,2,1.25,3,1,233,424
0,0,0,2.36360078908,0,0,.,425
2,0,3,1.25,2,1,322,426
0,0,0,2.80471665673,0,0,.,427
1,1,1,1.25,0,1,100,428
0,0,0,2.44638713028,0,0,.,429
1,2,1,1.25,0,1,100,430
0,0,0,2.25807558026,0,0,.,431
2,3,2,1.25,3,3,332,432
0,0,0,2.49298770678,0,0,.,433
2,0,3,1.25,2,1,322,434
0,0,0,2.18627044135,0,0,.,435
1,1,2,1.25,0,2,020,436
0,0,0,2.19338325574,0,0,.,437
1,2,3,1.25,0,3,003,438
0,0,0,2.68397209705,0,0,.,439
2,3,1,1.25,3,2,313,440
